country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","04-04-2025 15:00:00",17.65439,75.90649,CO,16,40,24
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","04-04-2025 15:00:00",17.65439,75.90649,OZONE,24,68,44
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","04-04-2025 15:00:00",19.235581,73.159121,CO,10,30,22
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","04-04-2025 15:00:00",19.26777,72.97182,OZONE,1,11,5
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","04-04-2025 15:00:00",23.7176342,92.7192841,CO,3,3,3
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","04-04-2025 15:00:00",19.4458210,72.7988231,OZONE,5,28,18
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","04-04-2025 15:00:00",21.941841,86.728318,SO2,20,33,27
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","04-04-2025 15:00:00",20.34652,85.81630,PM10,32,113,64
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","04-04-2025 15:00:00",20.34652,85.81630,SO2,2,65,13
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","04-04-2025 15:00:00",20.34652,85.81630,CO,20,42,38
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","04-04-2025 15:00:00",22.06156703,85.47409613,CO,24,56,54
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB","04-04-2025 15:00:00",21.8004996,83.8396977,PM2.5,24,93,51
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB","04-04-2025 15:00:00",21.8004996,83.8396977,CO,32,64,43
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","04-04-2025 15:00:00",31.620000,74.876512,CO,10,111,52
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","04-04-2025 15:00:00",30.233011,74.907758,PM2.5,29,107,56
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","04-04-2025 15:00:00",30.233011,74.907758,NO2,22,24,23
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","04-04-2025 15:00:00",31.321907,75.578914,NH3,2,4,4
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","04-04-2025 15:00:00",31.321907,75.578914,CO,34,45,40
